<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ASCON-JittaLine,20061201,6.2328,6.2328,6.2328,6.2328,null
ASCON-JittaLine,20070101,5.6463,5.6463,5.6463,5.6463,null
ASCON-JittaLine,20070201,5.0599,5.0599,5.0599,5.0599,null
ASCON-JittaLine,20070301,4.4734,4.4734,4.4734,4.4734,null
ASCON-JittaLine,20070401,3.887,3.887,3.887,3.887,null
ASCON-JittaLine,20070501,3.3006,3.3006,3.3006,3.3006,null
ASCON-JittaLine,20070601,2.7141,2.7141,2.7141,2.7141,null
ASCON-JittaLine,20070701,2.1277,2.1277,2.1277,2.1277,null
ASCON-JittaLine,20070801,1.5412,1.5412,1.5412,1.5412,null
ASCON-JittaLine,20070901,0.9548,0.9548,0.9548,0.9548,null
ASCON-JittaLine,20071001,0.3683,0.3683,0.3683,0.3683,null
